,date,open,high,low,close,volume
120,Sep 29 2014,1978.96,1981.28,1964.04,1977.80,421744398
121,Jan 2 2015,2058.90,2072.36,2046.04,2058.20,426937581
122,Jan 5 2015,2054.44,2054.44,2017.34,2020.58,611506858
123,Jan 6 2015,2022.15,2030.25,1992.44,2002.61,628224413
124,Jan 7 2015,2005.55,2029.61,2005.55,2025.90,538478740
125,Jan 8 2015,2030.61,2064.08,2030.61,2062.14,604827987
126,Jan 9 2015,2063.45,2064.43,2038.33,2044.81,503887901
127,Jan 12 2015,2046.13,2049.30,2022.58,2028.26,536631269
128,Jan 13 2015,2031.58,2056.93,2008.25,2023.03,610182246
129,Jan 14 2015,2018.40,2018.40,1988.44,2011.27,673001114
130,Jan 15 2015,2013.75,2021.35,1991.47,1992.67,608258039
131,Jan 16 2015,1992.25,2020.46,1988.12,2019.42,731828339
132,Jan 20 2015,2020.76,2028.94,2004.49,2022.55,605394244
133,Jan 21 2015,2020.19,2038.29,2012.04,2032.12,538996626
134,Jan 22 2015,2034.30,2064.62,2026.38,2063.15,643547837
135,Jan 23 2015,2062.98,2062.98,2050.54,2051.82,535455933
136,Jan 26 2015,2050.42,2057.62,2040.97,2057.09,525986275
137,Jan 27 2015,2047.86,2047.86,2019.91,2029.55,562176423
138,Jan 28 2015,2032.34,2042.49,2001.49,2002.16,648480471
139,Jan 29 2015,2002.45,2024.64,1989.18,2021.25,620130124
140,Feb 2 2015,1996.67,2021.66,1980.90,2020.85,637708675
141,Feb 3 2015,2022.71,2050.30,2022.71,2050.03,658300755
142,Feb 4 2015,2048.86,2054.74,2036.72,2041.51,638853840
143,Feb 5 2015,2043.45,2063.55,2043.45,2062.52,532688569
144,Feb 6 2015,2062.28,2072.40,2049.97,2055.47,590733024
145,Feb 9 2015,2053.47,2056.16,2041.88,2046.74,502321634
146,Feb 10 2015,2049.38,2070.86,2048.62,2068.59,537838874
147,Feb 11 2015,2068.55,2073.48,2057.99,2068.53,502374735
148,Feb 12 2015,2069.98,2088.53,2069.98,2088.48,563402483
149,Feb 13 2015,2088.78,2097.03,2086.70,2096.99,501223065
150,Feb 17 2015,2096.47,2101.30,2089.80,2100.34,557220441
151,Feb 18 2015,2099.16,2100.23,2092.15,2099.68,458222878
152,Feb 19 2015,2099.25,2102.13,2090.79,2097.45,462240272
153,Feb 20 2015,2097.65,2110.61,2085.44,2110.30,621832126
154,Feb 23 2015,2109.83,2110.05,2103.00,2109.66,497016103
155,Feb 24 2015,2109.10,2117.94,2105.87,2115.48,499805150
156,Feb 25 2015,2115.30,2119.59,2109.89,2113.86,481020383
157,Feb 26 2015,2113.91,2113.91,2103.76,2110.74,504308836
158,Mar 2 2015,2105.23,2117.52,2104.50,2117.39,516612174
159,Mar 3 2015,2115.76,2115.76,2098.26,2107.78,488593539
160,Mar 4 2015,2107.72,2107.72,2087.62,2098.53,489025555
161,Mar 5 2015,2098.54,2104.25,2095.22,2101.04,479611957
162,Mar 6 2015,2100.91,2100.91,2067.27,2071.26,654413604
163,Mar 9 2015,2072.25,2083.49,2072.21,2079.43,491672606
164,Mar 10 2015,2076.14,2076.14,2044.16,2044.16,618042903
165,Mar 11 2015,2044.69,2050.08,2039.69,2040.24,540138591
166,Mar 12 2015,2041.10,2066.41,2041.10,2065.95,541588132
167,Mar 13 2015,2064.56,2064.56,2041.17,2053.40,553445667
168,Mar 16 2015,2055.35,2081.41,2055.35,2081.19,541612324
169,Mar 17 2015,2080.59,2080.59,2065.08,2074.28,475714134
170,Mar 18 2015,2072.84,2106.85,2061.23,2099.50,628925946
171,Mar 19 2015,2098.69,2098.69,2085.56,2089.27,528262488
172,Mar 20 2015,2090.32,2113.92,2090.32,2108.10,1560822488
173,Mar 23 2015,2107.99,2114.86,2104.42,2104.42,500086465
174,Mar 24 2015,2103.94,2107.63,2091.50,2091.50,512610880
175,Mar 25 2015,2093.10,2097.43,2061.05,2061.05,582073426
176,Mar 26 2015,2059.94,2067.15,2045.50,2056.15,619686786
177,Mar 27 2015,2055.78,2062.83,2052.96,2061.02,537750961
178,Mar 30 2015,2064.11,2088.97,2064.11,2086.24,493690723
179,Apr 1 2015,2067.63,2067.63,2048.38,2059.69,564988727
180,Apr 2 2015,2060.03,2072.17,2057.32,2066.96,484704255
181,Apr 6 2015,2064.87,2086.99,2056.52,2080.62,603791492
182,Apr 7 2015,2080.79,2089.81,2076.10,2076.33,436475554
183,Apr 8 2015,2076.94,2086.69,2073.30,2081.90,488249204
184,Apr 9 2015,2081.29,2093.31,2074.29,2091.18,473659522
185,Apr 10 2015,2091.51,2102.61,2091.51,2102.06,467375544
186,Apr 13 2015,2102.03,2107.65,2092.33,2092.43,489876530
187,Apr 14 2015,2092.28,2098.62,2083.24,2095.84,449838753
188,Apr 15 2015,2097.82,2111.91,2097.82,2106.63,561622715
189,Apr 16 2015,2105.96,2111.30,2100.02,2104.99,494694374
190,Apr 17 2015,2102.58,2102.58,2072.37,2081.18,661794713
191,Apr 20 2015,2084.11,2103.94,2084.11,2100.40,481863950
192,Apr 21 2015,2102.82,2109.64,2094.38,2097.29,485076830
